Id Name HP ATK DEF SPD SPE Type1 Type2 Moves
73 Tentacruel 80 70 65 100 120 WATER POISON Acid,Supersonic,Wrap,Supersonic,Wrap,Poison_Sting,Water_Gun,Constrict,Barrier,Screech,Hydro_Pump,Swords_Dance,Toxic,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Rage,Mega_Drain,Mimic,Double_Team,Reflect,Bide,Skull_Bash,Rest,Substitute,Cut,Surf,
74 Geodude 40 80 100 20 30 GROUND ROCK Tackle,Defense_Curl,Rock_Throw,Harden,Earthquake,Explosion,Mega_Punch,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Submission,Counter,Seismic_Toss,Rage,Earthquake,Fissure,Dig,Mimic,Double_Team,Bide,Metronome,Fire_Blast,Rest,Explosion,Rock_Slide,Substitute,Strength,
75 Graveler 55 95 115 35 45 GROUND ROCK Tackle,Defense_Curl,Defense_Curl,Rock_Throw,Harden,Earthquake,Explosion,Mega_Punch,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Submission,Counter,Seismic_Toss,Rage,Earthquake,Fissure,Dig,Mimic,Double_Team,Bide,Metronome,Fire_Blast,Rest,Explosion,Rock_Slide,Substitute,Strength,
76 Golem 80 110 130 45 55 GROUND ROCK Tackle,Defense_Curl,Defense_Curl,Rock_Throw,Harden,Earthquake,Explosion,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Submission,Counter,Seismic_Toss,Rage,Earthquake,Fissure,Dig,Mimic,Double_Team,Bide,Metronome,Fire_Blast,Rest,Explosion,Rock_Slide,Substitute,Strength,
77 Ponyta 50 85 55 90 65 FIRE NONE Ember,Tail_Whip,Stomp,Growl,Fire_Spin,Take_Down,Agility,Toxic,Horn_Drill,Body_Slam,Slam,Take_Down,Double-Edge,Rage,Mimic,Double_Team,Reflect,Bide,Fire_Blast,Swift,Skull_Bash,Rest,Substitute,
78 Rapidash 65 100 70 105 80 FIRE NONE Ember,Tail_Whip,Stomp,Growl,Tail_Whip,Stomp,Growl,Fire_Spin,Take_Down,Agility,Toxic,Horn_Drill,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Rage,Mimic,Double_Team,Reflect,Bide,Fire_Blast,Swift,Skull_Bash,Rest,Substitute,Pay_Day,
79 Slowpoke 90 65 65 15 40 WATER PSYCHIC Confusion,Disable,Headbutt,Growl,Water_Gun,Amnesia,Psychic,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Pay_Day,Rage,Earthquake,Fissure,Dig,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Fire_Blast,Swift,Skull_Bash,Rest,Thunder,Thunder_Wave,Psywave,Tri_Attack,Substitute,Surf,Strength,Flash,
80 Slowbro 95 75 110 30 80 WATER PSYCHIC Confusion,Disable,Headbutt,Disable,Headbutt,Growl,Water_Gun,Withdraw,Amnesia,Psychic,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Pay_Day,Submission,Counter,Seismic_Toss,Rage,Earthquake,Fissure,Dig,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Fire_Blast,Swift,Skull_Bash,Rest,Thunder,Thunder_Wave,Psywave,Tri_Attack,Substitute,Surf,Strength,Flash,
81 Magnemite 25 35 70 45 95 ELECTRIC NONE Tackle,Thunder,Supersonic,Thunder,Thunder_Wave,Swift,Screech,Toxic,Take_Down,Double-Edge,Rage,Thunder,Thunderbolt,Thunder,Teleport,Mimic,Double_Team,Reflect,Bide,Swift,Rest,Thunder,Thunder_Wave,Substitute,Flash,
82 Magneton 50 60 95 70 120 ELECTRIC NONE Tackle,Thunder,Thunder,Supersonic,Thunder,Thunder_Wave,Swift,Screech,Toxic,Take_Down,Double-Edge,Hyper_Beam,Rage,Thunder,Thunderbolt,Thunder,Teleport,Mimic,Double_Team,Reflect,Bide,Swift,Rest,Thunder,Thunder_Wave,Substitute,Flash,
83 Farfetch'd 52 65 55 60 58 NORMAL FLYING Peck,Leer,Fury_Attack,Swords_Dance,Agility,Slash,Razor_Wind,Swords_Dance,Whirlwind,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Rage,Mimic,Double_Team,Reflect,Bide,Swift,Skull_Bash,Rest,Substitute,Cut,Fly,
84 Doduo 35 85 45 75 35 NORMAL FLYING Peck,Growl,Fury_Attack,Drill_Peck,Peck,Rage,Tri_Attack,Agility,Whirlwind,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Rage,Mimic,Double_Team,Reflect,Bide,Skull_Bash,Sky_Attack,Rest,Tri_Attack,Substitute,Fly,
85 Dodrio 60 110 70 100 60 NORMAL FLYING Peck,Growl,Fury_Attack,Growl,Fury_Attack,Drill_Peck,Peck,Rage,Tri_Attack,Agility,Whirlwind,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Rage,Mimic,Double_Team,Reflect,Bide,Skull_Bash,Sky_Attack,Rest,Tri_Attack,Substitute,Fly,
86 Seel 65 45 55 45 70 WATER NONE Headbutt,Growl,Aurora_Beam,Rest,Take_Down,Ice_Beam,Toxic,Horn_Drill,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Pay_Day,Rage,Mimic,Double_Team,Bide,Skull_Bash,Rest,Substitute,Surf,Strength,
87 Dewgong 90 70 80 70 95 WATER ICE Headbutt,Growl,Aurora_Beam,Growl,Aurora_Beam,Rest,Take_Down,Ice_Beam,Toxic,Horn_Drill,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Pay_Day,Rage,Mimic,Double_Team,Bide,Skull_Bash,Rest,Substitute,Surf,Strength,
88 Grimer 80 80 50 25 40 POISON NONE Pound,Disable,Poison_Gas,Minimize,Sludge,Harden,Screech,Acid,Acid_Armor,Toxic,Body_Slam,Slam,Rage,Mega_Drain,Thunder,Thunderbolt,Thunder,Mimic,Double_Team,Bide,Fire_Blast,Rest,Explosion,Substitute,
89 Muk 105 105 75 50 65 POISON NONE Pound,Disable,Poison_Gas,Poison_Gas,Minimize,Sludge,Harden,Screech,Acid,Acid_Armor,Toxic,Body_Slam,Slam,Hyper_Beam,Rage,Mega_Drain,Thunder,Thunderbolt,Thunder,Mimic,Double_Team,Bide,Fire_Blast,Rest,Explosion,Substitute,
90 Shellder 30 65 100 40 45 WATER NONE Tackle,Withdraw,Supersonic,Clamp,Aurora_Beam,Leer,Ice_Beam,Toxic,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Rage,Teleport,Mimic,Double_Team,Reflect,Bide,Swift,Rest,Explosion,Tri_Attack,Substitute,Surf,
91 Cloyster 50 95 180 70 85 WATER ICE Withdraw,Supersonic,Clamp,Aurora_Beam,Spike_Cannon,Toxic,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Rage,Teleport,Mimic,Double_Team,Reflect,Bide,Swift,Rest,Explosion,Tri_Attack,Substitute,Surf,Leer,Tackle,
92 Gastly 30 35 30 80 100 POISON GHOST Lick,Confuse_Ray,Night_Shade,Hypnosis,Dream_Eater,Toxic,Rage,Mega_Drain,Thunder,Thunderbolt,Thunder,Psychic,Mimic,Double_Team,Bide,Dream_Eater,Rest,Psywave,Explosion,Substitute,
93 Haunter 45 50 45 95 115 POISON GHOST Lick,Confuse_Ray,Night_Shade,Hypnosis,Dream_Eater,Toxic,Rage,Mega_Drain,Thunder,Thunderbolt,Thunder,Psychic,Mimic,Double_Team,Bide,Dream_Eater,Rest,Psywave,Explosion,Substitute,
94 Gengar 60 65 60 110 130 POISON GHOST Lick,Confuse_Ray,Night_Shade,Hypnosis,Dream_Eater,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Submission,Counter,Seismic_Toss,Rage,Mega_Drain,Thunder,Thunderbolt,Thunder,Psychic,Mimic,Double_Team,Bide,Metronome,Skull_Bash,Dream_Eater,Rest,Psywave,Explosion,Substitute,Strength,
95 Onix 35 45 160 70 30 GROUND ROCK Tackle,Screech,Bind,Rock_Throw,Rage,Slam,Harden,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Rage,Earthquake,Fissure,Dig,Mimic,Double_Team,Bide,Skull_Bash,Rest,Explosion,Rock_Slide,Substitute,Strength,
96 Drowzee 60 48 45 42 90 PSYCHIC NONE Pound,Hypnosis,Disable,Confusion,Headbutt,Poison_Gas,Psychic,Meditate,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Submission,Counter,Seismic_Toss,Rage,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Metronome,Skull_Bash,Dream_Eater,Rest,Thunder,Thunder_Wave,Psywave,Tri_Attack,Substitute,Flash,
97 Hypno 85 73 70 67 115 PSYCHIC NONE Pound,Hypnosis,Disable,Confusion,Disable,Confusion,Headbutt,Poison_Gas,Psychic,Meditate,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Submission,Counter,Seismic_Toss,Rage,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Metronome,Skull_Bash,Dream_Eater,Rest,Thunder,Thunder_Wave,Psywave,Tri_Attack,Substitute,Flash,
98 Krabby 30 105 90 50 25 WATER NONE Bubble,Leer,Guillotine,Stomp,Crabhammer,Harden,Swords_Dance,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Rage,Mimic,Double_Team,Bide,Rest,Substitute,Cut,Surf,Strength,
99 Kingler 55 130 115 75 50 WATER NONE Bubble,Leer,Guillotine,Stomp,Crabhammer,Harden,Swords_Dance,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Rage,Mimic,Double_Team,Bide,Rest,Substitute,Cut,Surf,Strength,
100 Voltorb 40 30 50 100 55 ELECTRIC NONE Tackle,Screech,Light_Screen,Swift,Explosion,Toxic,Take_Down,Rage,Thunder,Thunderbolt,Thunder,Teleport,Mimic,Double_Team,Reflect,Bide,Swift,Rest,Thunder,Thunder_Wave,Explosion,Substitute,Flash,
101 Electrode 60 50 70 140 80 ELECTRIC NONE Tackle,Screech,Light_Screen,Swift,Explosion,Toxic,Take_Down,Hyper_Beam,Rage,Thunder,Thunderbolt,Thunder,Teleport,Mimic,Double_Team,Reflect,Bide,Swift,Skull_Bash,Rest,Thunder,Thunder_Wave,Explosion,Substitute,Flash,
102 Exeggcute 60 40 80 40 60 GRASS PSYCHIC Barrage,Hypnosis,Reflect,Leech_Seed,Spore,Stun_Spore,SolarBeam,Sleep_Powder,Toxic,Take_Down,Double-Edge,Rage,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Egg_Bomb,Rest,Psywave,Explosion,Substitute,
103 Exeggutor 95 95 85 55 125 GRASS PSYCHIC Barrage,Hypnosis,Stomp,Toxic,Take_Down,Double-Edge,Hyper_Beam,Rage,Mega_Drain,SolarBeam,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Egg_Bomb,Rest,Psywave,Explosion,Substitute,Strength,Leech_Seed,Sleep_Powder,Spore,Stun_Spore,
104 Cubone 50 50 95 35 40 GROUND NONE Growl,Bone_Club,Tail_Whip,Headbutt,Leer,Focus_Energy,Thrash,Bonemerang,Rage,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Submission,Counter,Seismic_Toss,Rage,Earthquake,Fissure,Dig,Mimic,Double_Team,Bide,Fire_Blast,Skull_Bash,Rest,Substitute,Strength,
105 Marowak 60 80 110 45 50 GROUND NONE Bone_Club,Tail_Whip,Bone_Club,Tail_Whip,Headbutt,Leer,Focus_Energy,Thrash,Bonemerang,Rage,Growl,Leer,Focus_Energy,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Submission,Counter,Seismic_Toss,Rage,Earthquake,Fissure,Dig,Mimic,Double_Team,Bide,Fire_Blast,Skull_Bash,Rest,Substitute,Strength,Growl,
106 Hitmonlee 50 120 53 87 35 FIGHTING NONE Double_Kick,Meditate,Rolling_Kick,Jump_Kick,Focus_Energy,Jump_Kick,Mega_Kick,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Submission,Counter,Seismic_Toss,Rage,Mimic,Double_Team,Bide,Metronome,Swift,Skull_Bash,Rest,Substitute,Strength,
107 Hitmonchan 50 105 79 76 35 FIGHTING NONE Comet_Punch,Agility,Fire_Punch,Ice_Punch,Thunder,Mega_Punch,Counter,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Submission,Counter,Seismic_Toss,Rage,Mimic,Double_Team,Bide,Metronome,Swift,Skull_Bash,Rest,Substitute,Strength,
108 Lickitung 90 55 75 30 60 NORMAL NONE Wrap,Supersonic,Stomp,Disable,Defense_Curl,Slam,Screech,Lick,Lick,Mega_Punch,Swords_Dance,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Submission,Counter,Seismic_Toss,Rage,Thunder,Thunderbolt,Thunder,Earthquake,Fissure,Mimic,Double_Team,Bide,Fire_Blast,Skull_Bash,Rest,Substitute,Cut,Surf,Strength,Lick,Lick,
109 Koffing 40 65 95 35 60 POISON NONE Tackle,Smog,Sludge,Haze,Explosion,Toxic,Rage,Thunder,Thunderbolt,Thunder,Mimic,Double_Team,Bide,Fire_Blast,Rest,Explosion,Substitute,
110 Weezing 65 90 120 60 85 POISON NONE Tackle,Smog,Sludge,Sludge,Haze,Explosion,Toxic,Hyper_Beam,Rage,Thunder,Thunderbolt,Thunder,Mimic,Double_Team,Bide,Fire_Blast,Rest,Explosion,Substitute,
111 Rhyhorn 80 85 95 25 30 GROUND ROCK Horn_Attack,Stomp,Tail_Whip,Fury_Attack,Horn_Drill,Leer,Take_Down,Toxic,Horn_Drill,Body_Slam,Slam,Take_Down,Double-Edge,Rage,Thunder,Thunderbolt,Thunder,Earthquake,Fissure,Dig,Mimic,Double_Team,Bide,Fire_Blast,Skull_Bash,Rest,Rock_Slide,Substitute,Strength,
112 Rhydon 105 130 120 40 45 GROUND ROCK Horn_Attack,Stomp,Tail_Whip,Fury_Attack,Stomp,Tail_Whip,Fury_Attack,Horn_Drill,Leer,Take_Down,Mega_Punch,Mega_Kick,Toxic,Horn_Drill,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Pay_Day,Submission,Counter,Seismic_Toss,Rage,Thunder,Thunderbolt,Thunder,Earthquake,Fissure,Dig,Mimic,Double_Team,Bide,Fire_Blast,Skull_Bash,Rest,Rock_Slide,Substitute,Surf,Strength,
113 Chansey 250 5 5 50 105 NORMAL NONE Pound,Tail_Whip,Sing,Growl,Minimize,Defense_Curl,Light_Screen,Double-Edge,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Submission,Counter,Seismic_Toss,Rage,SolarBeam,Thunder,Thunderbolt,Thunder,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Metronome,Egg_Bomb,Fire_Blast,Skull_Bash,Rest,Thunder,Thunder_Wave,Psywave,Tri_Attack,Substitute,Strength,Flash,
114 Tangela 65 55 115 60 100 GRASS NONE Constrict,Bind,Absorb,Vine_Whip,Spore,Stun_Spore,Sleep_Powder,Slam,Growth,Swords_Dance,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Rage,Mega_Drain,SolarBeam,Mimic,Double_Team,Bide,Skull_Bash,Rest,Substitute,Cut,
115 Kangaskhan 105 95 80 90 40 NORMAL NONE Comet_Punch,Rage,Bite,Tail_Whip,Mega_Punch,Leer,Dizzy_Punch,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Submission,Counter,Seismic_Toss,Rage,Thunder,Thunderbolt,Thunder,Earthquake,Fissure,Mimic,Double_Team,Bide,Fire_Blast,Skull_Bash,Rest,Rock_Slide,Substitute,Surf,Strength,
116 Horsea 30 40 70 60 70 WATER NONE Bubble,Leer,Water_Gun,Agility,Hydro_Pump,Toxic,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Rage,Mimic,Double_Team,Bide,Swift,Skull_Bash,Rest,Substitute,Surf,
117 Seadra 55 65 95 85 95 WATER NONE Bubble,Leer,Water_Gun,Agility,Hydro_Pump,Toxic,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Rage,Mimic,Double_Team,Bide,Swift,Skull_Bash,Rest,Substitute,Surf,
118 Goldeen 45 67 60 63 50 WATER NONE Peck,Tail_Whip,Supersonic,Horn_Attack,Fury_Attack,Waterfall,Horn_Drill,Agility,Toxic,Horn_Drill,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Rage,Mimic,Double_Team,Bide,Swift,Skull_Bash,Rest,Substitute,Surf,
119 Seaking 80 92 65 68 80 WATER NONE Peck,Tail_Whip,Supersonic,Supersonic,Horn_Attack,Fury_Attack,Waterfall,Horn_Drill,Agility,Toxic,Horn_Drill,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Rage,Mimic,Double_Team,Bide,Swift,Skull_Bash,Rest,Substitute,Surf,
120 Staryu 30 45 55 85 70 WATER NONE Tackle,Water_Gun,Harden,Recover,Swift,Minimize,Light_Screen,Hydro_Pump,Toxic,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Rage,Thunder,Thunderbolt,Thunder,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Swift,Skull_Bash,Rest,Thunder,Thunder_Wave,Psywave,Tri_Attack,Substitute,Surf,Flash,
121 Starmie 60 75 85 115 100 WATER PSYCHIC Tackle,Water_Gun,Harden,Toxic,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Rage,Thunder,Thunderbolt,Thunder,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Swift,Skull_Bash,Rest,Thunder,Thunder_Wave,Psywave,Tri_Attack,Substitute,Surf,Flash,Hydro_Pump,Light_Screen,Minimize,Recover,
122 Mr.Mime 40 45 65 90 100 PSYCHIC NONE Confusion,Barrier,Confusion,Light_Screen,Meditate,Substitute,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Submission,Counter,Seismic_Toss,Rage,SolarBeam,Thunder,Thunderbolt,Thunder,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Metronome,Skull_Bash,Rest,Thunder,Thunder_Wave,Psywave,Substitute,Flash,
123 Scyther 70 110 80 105 55 BUG FLYING Quick_Attack,Leer,Focus_Energy,Double_Team,Slash,Swords_Dance,Agility,Wing_Attack,Swords_Dance,Toxic,Take_Down,Double-Edge,Hyper_Beam,Rage,Mimic,Double_Team,Bide,Swift,Skull_Bash,Rest,Substitute,Cut,
124 Jynx 65 50 35 95 95 PSYCHIC ICE Pound,Lovely_Kiss,Lick,Ice_Punch,Body_Slam,Slam,Thrash,Blizzard,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Submission,Counter,Seismic_Toss,Rage,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Metronome,Skull_Bash,Rest,Psywave,Substitute,
125 Electabuzz 65 83 57 105 85 ELECTRIC NONE Quick_Attack,Leer,Thunder,Screech,Thunder,Light_Screen,Thunder,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Submission,Counter,Seismic_Toss,Rage,Thunder,Thunderbolt,Thunder,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Metronome,Swift,Skull_Bash,Rest,Thunder,Thunder_Wave,Psywave,Substitute,Strength,Flash,
126 Magmar 65 95 57 93 85 FIRE NONE Ember,Leer,Confuse_Ray,Fire_Punch,Smog,Flamethrower,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Submission,Counter,Seismic_Toss,Rage,Psychic,Teleport,Mimic,Double_Team,Bide,Metronome,Fire_Blast,Skull_Bash,Rest,Psywave,Substitute,Strength,
127 Pinsir 65 125 100 85 55 BUG NONE Bind,Seismic_Toss,Guillotine,Focus_Energy,Harden,Slash,Swords_Dance,Swords_Dance,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Submission,Seismic_Toss,Rage,Mimic,Double_Team,Bide,Rest,Substitute,Cut,Strength,
128 Tauros 75 100 95 110 70 NORMAL NONE Tackle,Stomp,Tail_Whip,Leer,Rage,Take_Down,Toxic,Horn_Drill,Body_Slam,Slam,Take_Down,Double-Edge,Ice_Beam,Blizzard,Hyper_Beam,Rage,Thunder,Thunderbolt,Thunder,Earthquake,Fissure,Mimic,Double_Team,Bide,Fire_Blast,Skull_Bash,Rest,Substitute,Strength,
129 Magikarp 20 10 55 80 20 WATER NONE Splash,Tackle,Dragon_Rage,Rage,
130 Gyarados 95 125 79 81 100 WATER FLYING Tackle,Bite,Dragon_Rage,Rage,Leer,Hydro_Pump,Hyper_Beam,Bite,Dragon_Rage,Rage,Leer,Hydro_Pump,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Rage,Dragon_Rage,Rage,Thunder,Thunderbolt,Thunder,Mimic,Double_Team,Reflect,Bide,Fire_Blast,Skull_Bash,Rest,Substitute,Surf,Strength,Splash,Tackle,
131 Lapras 130 85 80 60 95 WATER ICE Water_Gun,Growl,Sing,Mist,Body_Slam,Slam,Confuse_Ray,Ice_Beam,Hydro_Pump,Toxic,Horn_Drill,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Rage,SolarBeam,Dragon_Rage,Rage,Thunder,Thunderbolt,Thunder,Psychic,Mimic,Double_Team,Reflect,Bide,Skull_Bash,Rest,Psywave,Substitute,Surf,Strength,
132 Ditto 48 48 48 48 48 NORMAL NONE Transform,
133 Eevee 55 55 50 55 65 NORMAL NONE Tackle,Tail_Whip,Growl,Quick_Attack,Bite,Focus_Energy,Take_Down,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Rage,Mimic,Double_Team,Reflect,Bide,Swift,Skull_Bash,Rest,Substitute,
134 Vaporeon 130 65 60 65 110 WATER NONE Tackle,Tail_Whip,Quick_Attack,Water_Gun,Water_Gun,Quick_Attack,Bite,Aurora_Beam,Haze,Acid,Acid_Armor,Hydro_Pump,Mist,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Rage,Mimic,Double_Team,Reflect,Bide,Swift,Skull_Bash,Rest,Substitute,Surf,Focus_Energy,Growl,
135 Jolteon 65 65 60 130 110 ELECTRIC NONE Tackle,Tail_Whip,Quick_Attack,Thunder,Thunder,Quick_Attack,Double_Kick,Pin_Missile,Thunder,Thunder_Wave,Agility,Thunder,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Rage,Thunder,Thunderbolt,Thunder,Mimic,Double_Team,Reflect,Bide,Swift,Skull_Bash,Rest,Thunder,Thunder_Wave,Substitute,Flash,Bite,Focus_Energy,Growl,
136 Flareon 65 130 60 65 110 FIRE NONE Tackle,Tail_Whip,Quick_Attack,Ember,Ember,Quick_Attack,Bite,Fire_Spin,Smog,Leer,Rage,Flamethrower,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Rage,Mimic,Double_Team,Reflect,Bide,Fire_Blast,Swift,Skull_Bash,Rest,Substitute,Focus_Energy,Growl,
137 Porygon 65 60 70 40 75 NORMAL NONE Tackle,Sharpen,Conversion,Psybeam,Recover,Agility,Tri_Attack,Toxic,Take_Down,Double-Edge,Ice_Beam,Blizzard,Hyper_Beam,Rage,Thunder,Thunderbolt,Thunder,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Swift,Skull_Bash,Rest,Thunder,Thunder_Wave,Psywave,Tri_Attack,Substitute,Flash,
138 Omanyte 35 40 100 35 90 WATER ROCK Water_Gun,Withdraw,Horn_Attack,Leer,Spike_Cannon,Hydro_Pump,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Rage,Mimic,Double_Team,Reflect,Bide,Rest,Substitute,Surf,
139 Omastar 70 60 125 55 115 WATER ROCK Water_Gun,Withdraw,Horn_Attack,Horn_Attack,Leer,Spike_Cannon,Hydro_Pump,Toxic,Horn_Drill,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Submission,Seismic_Toss,Rage,Mimic,Double_Team,Reflect,Bide,Skull_Bash,Rest,Substitute,Surf,
140 Kabuto 30 80 90 55 45 WATER ROCK Scratch,Harden,Absorb,Slash,Leer,Hydro_Pump,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Rage,Mimic,Double_Team,Reflect,Bide,Rest,Substitute,Surf,
141 Kabutops 60 115 105 80 70 WATER ROCK Scratch,Harden,Absorb,Absorb,Slash,Leer,Hydro_Pump,Razor_Wind,Swords_Dance,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Submission,Seismic_Toss,Rage,Mimic,Double_Team,Reflect,Bide,Skull_Bash,Rest,Substitute,Cut,Surf,
142 Aerodactyl 80 105 65 130 60 FLYING ROCK Wing_Attack,Agility,Supersonic,Bite,Take_Down,Hyper_Beam,Razor_Wind,Whirlwind,Toxic,Take_Down,Double-Edge,Hyper_Beam,Rage,Dragon_Rage,Rage,Mimic,Double_Team,Reflect,Bide,Fire_Blast,Swift,Sky_Attack,Rest,Substitute,Fly,
143 Snorlax 160 110 65 30 65 NORMAL NONE Headbutt,Amnesia,Rest,Body_Slam,Slam,Harden,Double-Edge,Hyper_Beam,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Pay_Day,Submission,Counter,Seismic_Toss,Rage,SolarBeam,Thunder,Thunderbolt,Thunder,Earthquake,Fissure,Psychic,Mimic,Double_Team,Reflect,Bide,Metronome,Fire_Blast,Skull_Bash,Rest,Psywave,Rock_Slide,Substitute,Surf,Strength,
144 Articuno 90 85 100 85 125 FLYING ICE Peck,Ice_Beam,Blizzard,Agility,Mist,Razor_Wind,Whirlwind,Toxic,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Rage,Mimic,Double_Team,Reflect,Bide,Swift,Sky_Attack,Rest,Substitute,Fly,
